Pos,ID,Name,BV,SV,Team,1_xMins,2_xMins,3_xMins,4_xMins,5_xMins,6_xMins,7_xMins,8_xMins,9_xMins,10_xMins,11_xMins,12_xMins,1_Pts,2_Pts,3_Pts,4_Pts,5_Pts,6_Pts,7_Pts,8_Pts,9_Pts,10_Pts,11_Pts,12_Pts,Elite%
M,230991,Brennan Johnson,7.0,7.0,TOT,65,66,68,65,64,66,0,0,0,0,0,0,3.4793388241352723,3.51207072,3.1499079927081097,2.428612652130596,3.527713490061599,3.294463586557752,0,0,0,0,0,0,0
G,137863,Dean Henderson,4.5,4.5,CRY,74,73,72,72,68,69,0,0,0,0,0,0,3.2209158411317285,3.3505807503733105,2.868808021615994,3.601791146539924,3.159326309336908,3.113469260800018,0,0,0,0,0,0,0
M,3879519,Stephy Mavididi,6.0,6.0,LEI,78,76,74,73,71,69,0,0,0,0,0,0,3.5946891929074587,3.318034790044264,3.538776062672786,3.0685841069271835,3.409464591382707,2.2622219638993712,0,0,0,0,0,0,0
M,23404,James Ward-Prowse,6.5,6.5,WHU,77,71,72,71,71,72,0,0,0,0,0,0,3.6262096686133183,3.1186004936663987,2.684026764041578,3.2549730978975857,3.2168988068775684,3.244574899639193,0,0,0,0,0,0,0
F,164449,JoAo Pedro,6.0,6.0,BHA,71,69,65,64,61,61,0,0,0,0,0,0,3.2625741506060097,3.746332451832808,2.217963320286126,3.7978552998048376,3.125069734117086,2.768288552567705,0,0,0,0,0,0,0
M,88492,James Maddison,7.5,7.5,TOT,69,66,64,65,65,62,0,0,0,0,0,0,3.595442331565039,3.4769596877235136,2.9163761283613026,2.3316176281723857,3.522960077,3.0657729323132217,0,0,0,0,0,0,0
F,242879,Adam Armstrong,6.0,6.0,SOU,72,69,67,66,65,65,0,0,0,0,0,0,3.022895683959764,3.2287954784648747,2.9164490588975696,3.316694938533089,3.548334267380087,2.821290843534616,0,0,0,0,0,0,0
M,2930183,Enzo FernAndez,5.5,5.5,CHE,83,84,81,79,80,78,0,0,0,0,0,0,2.621255907049957,3.379483682936377,3.351840608115815,3.000159026404065,3.288971739260809,3.1740089562864955,0,0,0,0,0,0,0
D,186737,RAoben Dias,6.0,6.0,MCI,71,71,70,68,68,65,0,0,0,0,0,0,2.545183267054842,4.152636030667668,3.185122984466648,3.537594113436365,2.616340434068245,2.465110524,0,0,0,0,0,0,0
F,3627793,Matheus Cunha,7.0,7.0,WOL,78,74,73,72,71,70,0,0,0,0,0,0,2.449524754364392,3.371357447653986,3.166128475375695,3.407041483406837,3.154865320559101,2.9047499356598045,0,0,0,0,0,0,0
F,3590554,Nicolas Jackson,8.0,8.0,CHE,60,61,59,58,58,59,0,0,0,0,0,0,2.490562284929214,3.3002595403384456,3.264610154813026,2.910963696,3.2120605353685017,3.2264579565005085,0,0,0,0,0,0,0
M,3893796,Mats Wieffer,4.5,4.5,BHA,81,78,76,74,75,74,0,0,0,0,0,0,3.155724069047492,3.3582761031876407,2.354816968,3.6117148487011934,3.167591363447076,2.712465883975788,0,0,0,0,0,0,0
M,2170280,Casemiro,5.5,5.5,MUN,83,81,79,78,76,73,0,0,0,0,0,0,3.4717179636308795,2.9525819019598902,2.735559195309844,3.2935387286953905,2.8956405922967634,2.8576237538998703,0,0,0,0,0,0,0
M,3879579,Omari Hutchinson,5.5,5.5,IPS,79,79,75,75,74,74,0,0,0,0,0,0,2.9546342335334472,2.359580644360556,3.436560028707721,2.854012646388971,3.274802798412096,3.280605226972977,0,0,0,0,0,0,0
