ID,Name,Team,Pos,Value,1_xMins,1_Pts,2_xMins,2_Pts,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,total_pts
2893236.0,Victor Bernth Kristiansen,LEI,D,4.5,37,0.6232194284595499,35,0.6668546142306107,38,0.7449045307009687,40,0.732620216513227,37,0.8901443361026885,37,0.21160253211351226,3.8693456581205568
257276.0,Takehiro Tomiyasu,ARS,D,5.5,5,0.21477116823702602,11,0.3403439945310849,17,0.6471909485018409,23,0.6617249772160556,28,0.6138509810318491,29,1.2956249688690686,3.773507038386925
3879572.0,Jack Taylor,IPS,M,4.5,26,0.4039498430862643,31,0.4154586880755292,31,0.7250272505440921,34,0.6368756242998187,35,0.8129961030936939,35,0.7401750561510767,3.7344825652504747
1855091.0,Harry Toffolo,FOR,D,4.5,18,0.4769532932973737,22,0.6295907672630164,27,0.8414566004851152,28,0.3415616627446788,28,0.6110589902794565,28,0.817214611348703,3.7178359254183437
2882401.0,Jhon Durán,AVL,F,5.5,15,0.6084073534356156,15,0.35431208130620095,16,0.6609414707478208,16,0.648665041686365,16,0.7340436584208602,16,0.6994703016737812,3.705839907270644
2930181.0,Kamaldeen Sulemana,SOU,M,5.0,14,0.4118263854357503,15,0.5373145065114718,17,0.5481066801998047,19,0.7322721751914534,20,0.901223178385297,18,0.557199642774295,3.6879425684980722
3652441.0,Ibrahim Sangaré,FOR,M,4.5,26,0.5754414480384502,24,0.5726281460878548,27,0.6658692901846082,30,0.49030549759313546,30,0.5964117925941037,30,0.7367422917842638,3.6373984662824164
242907.0,Samuel Edozie,SOU,M,5.5,15,0.4092772529218029,16,0.5291493846659927,17,0.5078134454038052,19,0.6717190465447563,19,0.7834601212046992,20,0.5775912025158683,3.479010453256924
233401.0,Frank Onyeka,BRE,M,4.5,18,0.46011801919810813,22,0.40356790598258147,24,0.7451554976945628,26,0.4268241863743842,27,0.5956186984902812,27,0.7946962364946761,3.4259805442345943
2707125.0,Lewis Hall,NEW,D,4.5,19,0.6616977951161702,24,0.550252652542382,24,0.5538892364271095,23,0.6273594283682757,24,0.6067160237851751,28,0.4028521428537241,3.402767279092837
23134.0,Danny Ings,WHU,F,5.5,14,0.5318727565995695,15,0.49005927901831803,15,0.35728470779367955,19,0.6736735948141354,19,0.6680853709127097,19,0.6622148977189881,3.3831906068574003
3674479.0,Jack Hinshelwood,BHA,M,4.5,19,0.5215096431828126,20,0.6140832786657097,22,0.4254841408672928,21,0.7460186911049017,20,0.5910523931716236,19,0.4662999091181657,3.3644480561105063
2833740.0,Kevin Schade,BRE,M,5.5,15,0.4848684591085806,18,0.42747300899520035,19,0.7422679003522124,20,0.4094326038753139,20,0.5636468054323122,20,0.7362114628963735,3.363900240659993
156990.0,Tariq Lamptey,BHA,D,4.5,24,0.5987374436518418,22,0.6225664965853837,24,0.2730151395155952,22,0.8119310797716518,21,0.5954086964642561,22,0.3792489038077715,3.2809077597965
2229322.0,Antony,MUN,M,5.5,11,0.41616203288708264,15,0.45680954897687387,17,0.47499755095164553,18,0.687109540324326,18,0.562350720599516,19,0.651988402890939,3.249417796630383
3652440.0,Jean-Ricner Bellegarde,WOL,M,4.5,20,0.31206365141476394,22,0.540357935587233,24,0.6033311368669194,25,0.6493596884126188,25,0.6214750367324567,24,0.5113283438858978,3.23791579289989
234799.0,Kristoffer Ajer,BRE,D,4.5,21,0.5296456376674569,26,0.2618071420002222,28,0.8747871892300632,30,0.24156942655730335,29,0.439601001723983,32,0.8885552810215257,3.2359656782005546
3763425.0,Enes Ünal,BOU,F,5.5,0,0.0,0,0.0,0,0.0,13,0.5341317104536306,28,0.90907063012744,32,1.6995494634561348,3.1427518040372053
2818757.0,Facundo Buonanotte,BHA,M,5.0,15,0.4496918619731306,17,0.6096232768475822,19,0.3507939509429376,17,0.7173050262386699,16,0.5378143513554086,17,0.456084194366994,3.1213126617247235
242878.0,Kiernan Dewsbury-Hall,CHE,M,6.0,11,0.23728295510417902,14,0.4615586352029601,16,0.5334229546320391,17,0.5042354471816322,18,0.5988361506444855,20,0.6539595666255889,2.989295709390885
197966.0,Emile Smith Rowe,ARS,M,5.5,7,0.316016215040755,9,0.3087126932087948,13,0.5147544825148922,12,0.39778795569875025,19,0.4732647173122666,20,0.922446305715692,2.9329823694911505
2853884.0,Álex Moreno,AVL,D,4.5,15,0.37387007413248874,18,0.23778937374634243,19,0.5342658492525452,20,0.5529120671810833,19,0.581317095033798,21,0.6420123708054927,2.9221668301517507
231147.0,Tosin Adarabioyo,CHE,D,5.0,21,0.28445568537670474,20,0.5154128954038119,21,0.5646844083803638,21,0.4551882492714341,20,0.4884252695627791,20,0.5082532240932982,2.8164197320883924
3895028.0,Jaden Philogene Bidace,AVL,M,5.5,11,0.38080043893630605,14,0.2960342699347314,15,0.5387439239085887,14,0.4903757633541564,14,0.54790650822687,14,0.5309864591718058,2.7848473635324584
242869.0,Armando Broja,CHE,F,5.5,10,0.272191209396082,11,0.44987590547300055,12,0.49589908931183346,12,0.44092660124348576,13,0.5410572380271964,13,0.531797452154039,2.731747495605637
3879512.0,Ryan Manning,SOU,D,4.5,21,0.2224986080903829,22,0.47476847318142745,23,0.39657966167866365,22,0.4649299549324951,24,0.7303426637834622,26,0.40958797002518527,2.6987073316916166
3879559.0,Axel Tuanzebe,IPS,D,4.0,28,0.2660035002435728,27,0.08283550950406993,31,0.709862757805857,30,0.43978028628457444,30,0.6427557006317617,30,0.5276532689638158,2.668891023433652
256300.0,Maxwel Cornet,WHU,M,4.5,9,0.3220659345718247,13,0.4117802635226269,14,0.32085977930222886,14,0.47633219922569825,16,0.5287033029782184,17,0.5698244492820623,2.6295659288826596
3646579.0,Konstantinos Mavropanos,WHU,D,4.5,17,0.34127061555601035,23,0.45256668338586203,25,0.23991535105469508,27,0.5683504224238384,28,0.44630930902083216,29,0.5747170949746718,2.62312947641591
189201.0,Nathaniel Clyne,CRY,D,4.5,12,0.26390185070328076,15,0.39232640139251496,19,0.2916033683750008,20,0.5905109138701554,22,0.5282907584373706,23,0.5139560804762915,2.5805893732546146
192735.0,Emi Buendía,AVL,M,5.0,9,0.35912076762718137,9,0.20952026417009667,11,0.45315732069498343,12,0.4838307862106481,12,0.5481529893726881,11,0.4785391720866384,2.532321300162236
23543.0,Aaron Cresswell,WHU,D,4.0,17,0.3649766431555304,19,0.3954151623150358,23,0.2442615489204546,25,0.5520185533859804,25,0.4329586832695633,24,0.5025932843508796,2.4922238753974444
3879583.0,Ali Al Hamadi,IPS,F,5.0,9,0.2890476869980365,10,0.22728756819884813,10,0.4349883741632308,12,0.4061183768856212,13,0.5424266028912299,13,0.5451587388795013,2.4450273480164677
1777193.0,Tyrell Malacia,MUN,D,4.5,13,0.33068977761877605,18,0.33698819134636376,21,0.2622339989363388,23,0.5834483461611764,25,0.5005755546746623,24,0.4266815469004156,2.4406174156377327
3638039.0,Alejo Véliz,TOT,F,5.0,8,0.36373210407116835,8,0.3555437996884501,9,0.34921887826700626,11,0.2929594773091568,12,0.5628821589260681,11,0.4646209655536426,2.388957383815492
3879499.0,Luis Guilherme,WHU,M,5.0,11,0.30851470123130936,13,0.3404453098785434,15,0.2848426811327655,16,0.4515573478299337,16,0.41299369076675074,18,0.49660038511702,2.294954115956323
231155.0,Kenny Tete,FUL,D,4.5,11,0.22190826263068897,13,0.3797626140698882,15,0.41906075681861177,18,0.46465067252964265,20,0.35840914376855804,22,0.44609549295908607,2.2898869427764756
144450.0,Billy Gilmour,BHA,M,5.0,13,0.2714416143159425,19,0.42793400285353783,18,0.24964474867081632,19,0.5188024073796674,19,0.4137084028805076,21,0.3668583920047575,2.248389568105229
231152.0,Tim Ream,FUL,D,4.5,9,0.1656424726885916,15,0.395405490698389,19,0.4814849675615694,19,0.4351439990480552,21,0.3294525281725025,21,0.39353419500851966,2.2006636531776276
23117.0,James Milner,BHA,M,4.5,12,0.3083190588917732,13,0.38196492357818074,15,0.253191607742741,16,0.5518855651584234,14,0.3935889843790638,13,0.29654886690099835,2.1854990066511806
3879561.0,Freddie Ladapo,IPS,F,5.0,8,0.23928921606497555,10,0.21395011582000575,11,0.4484779958145455,12,0.38177089862714636,12,0.47119649619397364,11,0.4307424147661345,2.1854271372867813
274923.0,Nathan Patterson,EVE,D,4.5,12,0.27951396908226783,14,0.2226018054961557,17,0.40507385239830557,17,0.3048573816940303,19,0.4946238612670271,17,0.4199288439167907,2.126599713854577
23103.0,Jeffrey Schlupp,CRY,M,5.0,9,0.26975866507486906,10,0.3626425083943091,11,0.29269916021607467,11,0.41369523571045147,12,0.4100594127021145,12,0.3495535611570687,2.0984085432548873
3745030.0,Radu Drăgușin,TOT,D,4.5,9,0.245808920474472,13,0.344898720130486,19,0.3022038260718515,18,0.2345444954671222,20,0.5182699998100995,20,0.4205232756715451,2.066249237625576
226789.0,Thomas Cannon,LEI,M,4.5,7,0.2888375955742914,7,0.2671667334101362,10,0.4348862972050532,10,0.35658773937547283,10,0.4267348252959161,12,0.2671983717117893,2.041411562572659
139838.0,Emil Krafth,NEW,D,4.5,10,0.3187174421806583,14,0.29529147107261783,15,0.3086241335136757,18,0.44848269113129996,19,0.4407372212026482,18,0.22872815024960097,2.0405811093505006
175378.0,Luke Thomas,LEI,D,4.0,18,0.30412457572520935,19,0.3672395899803844,20,0.38650729253698113,19,0.34287069288968264,21,0.492312460773493,22,0.13831725430366987,2.0313718662094202
2405112.0,Boubacar Traoré,WOL,M,4.5,15,0.17972122257906362,19,0.3180294970386802,20,0.3760146829683018,22,0.39421693873212416,22,0.39215689376228896,23,0.34105661885406924,2.001195853934528
3879521.0,Wanya Marcal-Madivadua,LEI,M,4.5,7,0.24981586541674794,9,0.30417756821387937,10,0.3772646873195081,11,0.34851223004879656,12,0.44979052663982116,13,0.26280421688025696,1.9923650945190101
2098573.0,Bryan Gil,TOT,M,4.5,7,0.28112845298906586,9,0.35297757585311657,9,0.2983863676325141,9,0.20691324232020905,10,0.4096975718994663,12,0.4399837539835758,1.9890869646779477
3879511.0,Jack Stephens,SOU,D,4.0,12,0.12036477640366529,13,0.2524989368957501,16,0.25264737290234557,21,0.38935998789568005,21,0.5731572881097927,20,0.28683239586635895,1.8748607580735925
45036.0,Will Hughes,CRY,M,4.5,12,0.2475444602239366,14,0.33132881039573847,15,0.25852564522924504,16,0.3996474328225216,14,0.30863990612947323,15,0.31401789304113886,1.8597041478420537
192202.0,Josh Dasilva,BRE,M,4.5,7,0.2006619526135888,10,0.20977178735688537,12,0.41287173970493934,11,0.20127120943147264,13,0.3242452265195741,15,0.48621467696999465,1.835036592596455
3638749.0,Youssef Chermiti,EVE,F,5.0,5,0.18407251906729558,7,0.23034540673961085,7,0.2672639324763754,9,0.3087823337224898,11,0.42878927496837843,11,0.41341372280538774,1.8326671897795377
3651914.0,Tommy Doyle,WOL,M,4.5,15,0.21184957997931983,16,0.3140040455563957,16,0.3394405699149913,17,0.3498664305226958,16,0.3257622586331142,17,0.2911675891820189,1.8320904737885357
1783649.0,Cameron Archer,AVL,F,5.0,6,0.24652314523832788,7,0.17086009100499713,8,0.335502796971631,8,0.3270603373309888,8,0.37109050262276366,8,0.35222002600699076,1.8032568991756994
178132.0,Kostas Tsimikas,LIV,D,5.5,12,0.4270485385728346,8,0.2748365073529977,7,0.1985046871579612,9,0.3018340709100058,9,0.29619786496039247,9,0.28421853565415867,1.7826402046083505
2584318.0,Hugo Bueno,WOL,D,4.0,20,0.178959181812048,20,0.3679818974300562,21,0.45434239425069123,14,0.27829559585987496,14,0.26837655430763463,16,0.22825713019981347,1.7762127538601187
230738.0,Chris Mepham,BOU,D,4.0,10,0.20534979571584383,11,0.19944854664913553,15,0.3202438203579389,18,0.30322648613081427,16,0.16281340197240302,18,0.5190226778069149,1.7101047286330504
1897014.0,Manor Solomon,TOT,M,5.0,5,0.2150840628368025,6,0.25200792915846487,7,0.24999973544597748,8,0.1984679253548323,8,0.3519047519318067,10,0.39366687759442487,1.6611312823223088
