Pos,ID,Name,BV,SV,Team,1_xMins,1_Pts,2_xMins,2_Pts,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts
M,240.0,Andreas Pereira,6.0,6.0,Fulham,71,3.165856579189577,70,3.7075513224851737,70,3.518299288350861,70,3.695729195171508,69,3.166989928279474,67,2.864151997736683,0,0,0,0,0,0,0,0,0,0,0,0
M,434.0,Callum Hudson-Odoi,5.5,5.5,Nott'm Forest,78,3.666439544988453,73,3.567718308585952,73,3.780421249175391,71,2.66912573693359,69,2.9469098725711915,68,3.403290445864205,0,0,0,0,0,0,0,0,0,0,0,0
M,9.0,Martinelli,7.5,7.5,Arsenal,56,3.9711454145881535,56,3.1433802154513475,55,3.5240286608248867,54,2.961144813196177,53,2.288695003387532,53,3.85559915475105,0,0,0,0,0,0,0,0,0,0,0,0
M,217.0,Abdoulaye Doucouré,6.0,6.0,Everton,81,3.4846379919129697,78,3.0416325841090885,76,3.3948009227278737,74,3.0126627087304856,74,3.3756528817480755,75,3.341293360506939,0,0,0,0,0,0,0,0,0,0,0,0
D,335.0,Andrew Robertson,6.0,6.0,Liverpool,45,2.002276511637054,67,3.564979672271128,76,3.147611069033051,73,3.747181402688057,73,3.6773352880525234,73,3.4577828835586626,0,0,0,0,0,0,0,0,0,0,0,0
M,491.0,Brennan Johnson,7.0,7.0,Spurs,65,3.4793388241352723,66,3.51207071969263,68,3.1499079927081097,65,2.428612652130596,64,3.527713490061599,66,3.294463586557752,0,0,0,0,0,0,0,0,0,0,0,0
G,201.0,Dean Henderson,4.5,4.5,Crystal Palace,74,3.2209158411317285,73,3.3505807503733105,72,2.868808021615994,72,3.6017911465399237,68,3.159326309336908,69,3.113469260800018,0,0,0,0,0,0,0,0,0,0,0,0
M,298.0,Stephy Mavididi,6.0,6.0,Leicester,78,3.5946891929074587,76,3.318034790044264,74,3.538776062672786,73,3.0685841069271835,71,3.409464591382707,69,2.2622219638993712,0,0,0,0,0,0,0,0,0,0,0,0
M,531.0,James Ward-Prowse,6.5,6.5,West Ham,77,3.6262096686133183,71,3.1186004936663987,72,2.684026764041578,71,3.2549730978975857,71,3.2168988068775684,72,3.244574899639193,0,0,0,0,0,0,0,0,0,0,0,0
F,129.0,João Pedro,6.0,6.0,Brighton,71,3.2625741506060097,69,3.7463324518328074,65,2.217963320286126,64,3.7978552998048376,61,3.125069734117086,61,2.768288552567705,0,0,0,0,0,0,0,0,0,0,0,0
M,494.0,James Maddison,7.5,7.5,Spurs,69,3.595442331565039,66,3.4769596877235136,64,2.9163761283613026,65,2.3316176281723857,65,3.52296007701708,62,3.0657729323132217,0,0,0,0,0,0,0,0,0,0,0,0
F,453.0,Adam Armstrong,6.0,6.0,Southampton,72,3.022895683959764,69,3.2287954784648747,67,2.9164490588975696,66,3.316694938533089,65,3.548334267380087,65,2.821290843534616,0,0,0,0,0,0,0,0,0,0,0,0
M,168.0,Enzo Fernández,5.5,5.5,Chelsea,83,2.621255907049957,84,3.379483682936377,81,3.351840608115815,79,3.000159026404065,80,3.288971739260809,78,3.1740089562864955,0,0,0,0,0,0,0,0,0,0,0,0
D,361.0,Rúben Dias,6.0,6.0,Man City,71,2.545183267054842,71,4.152636030667668,70,3.185122984466648,68,3.537594113436365,68,2.616340434068245,65,2.46511052449642,0,0,0,0,0,0,0,0,0,0,0,0
F,541.0,Matheus Cunha,7.0,7.0,Wolves,78,2.449524754364392,74,3.371357447653986,73,3.166128475375695,72,3.407041483406837,71,3.154865320559101,70,2.9047499356598045,0,0,0,0,0,0,0,0,0,0,0,0
F,180.0,Nicolas Jackson,8.0,8.0,Chelsea,60,2.490562284929214,61,3.3002595403384456,59,3.264610154813026,58,2.91096369583688,58,3.2120605353685017,59,3.2264579565005085,0,0,0,0,0,0,0,0,0,0,0,0
M,149.0,Mats Wieffer,4.5,4.5,Brighton,81,3.155724069047492,78,3.3582761031876407,76,2.35481696795642,74,3.6117148487011943,75,3.167591363447076,74,2.712465883975788,0,0,0,0,0,0,0,0,0,0,0,0
